word,iter,dominant_topic,dominant_label,topic_share,hw2_score,category,is_real_term,is_metaphor,sentiment,llm_domain,lda_agree,NAP,df,intra_sim
推理,2,0,开源小模型,0.6619,9.0727,技术术语,True,False,中性,模型,True,3.326,14,0.1864
决策,2,7,激光雷达,0.2855,9.0643,通用词,False,False,中性,通用,False,2.9197,15,0.1689
支撑,2,6,自动驾驶,0.225,8.9619,通用词,False,False,中性,通用,False,3.6053,18,0.1984
算法,2,7,激光雷达,0.4458,8.3133,技术术语,True,False,中性,通用技术,False,4.0681,13,0.2184
镜像,2,1,软件与外设,0.8896,8.2334,技术术语,True,False,中性,软件/系统,True,4.5806,10,0.2405
Linux,2,1,软件与外设,0.3505,8.1138,实体-平台,True,False,中性,操作系统/软件,True,3.1783,14,0.18
规划,2,2,产业AI落地,0.294,7.9074,通用词,False,False,中性,通用,False,4.4982,14,0.2369
维度,2,2,产业AI落地,0.2912,7.8057,通用词,False,False,中性,通用,False,2.9788,14,0.1714
自动化,2,7,激光雷达,0.2365,7.6209,技术术语,True,False,中性,通用技术,False,3.3364,13,0.1868
限制,2,0,开源小模型,0.323,7.5918,通用词,False,False,中性,通用,False,2.0144,16,0.1299
规模化,2,6,自动驾驶,0.3637,7.4708,技术术语,True,False,中性,产业,False,4.686,11,0.245
插件,2,1,软件与外设,0.4057,7.4662,技术术语,True,False,中性,软件,True,3.1935,13,0.1807
GitHub,2,1,软件与外设,0.6916,7.3685,实体-平台,True,False,正面,软件/开源,True,5.525,10,0.2812
组织,2,2,产业AI落地,0.5961,7.1546,通用词,False,False,中性,通用,False,5.6299,9,0.2857
上下文,2,0,开源小模型,0.4405,7.0146,技术术语,True,False,中性,大模型,True,4.7222,10,0.2466
优化,3,0,开源小模型,0.2486,11.6182,通用词,False,False,中性,通用,False,1.8857,28,0.1243
架构,3,1,软件与外设,0.2491,11.2393,技术术语,True,False,中性,软件/芯片,True,2.1545,24,0.1359
操作,3,3,AI编程助手,0.3049,9.8629,通用词,False,False,中性,通用,False,2.4892,19,0.1503
精准,3,4,生成式AI,0.2903,9.2577,通用词,False,False,正面,通用,False,3.5463,19,0.1959
决定,3,9,苹果生态,0.2519,9.1281,通用词,False,False,中性,通用,False,2.5336,21,0.1523
自主,3,3,AI编程助手,0.2371,8.9186,通用词,False,False,中性,通用,False,2.859,18,0.1663
判断,3,7,激光雷达,0.4525,8.6708,通用词,False,False,中性,通用,False,3.921,15,0.212
训练,3,3,AI编程助手,0.3615,8.6388,技术术语,True,False,中性,模型,True,4.6863,12,0.245
大规模,3,3,AI编程助手,0.2202,8.4013,技术术语,True,False,中性,模型/产业,True,3.3339,14,0.1867
链路,3,6,自动驾驶,0.3039,8.1427,通用词,False,False,中性,通用/工程,False,3.2603,14,0.1836
输入,3,0,开源小模型,0.2137,7.92,通用词,False,False,中性,通用,False,3.62,13,0.1991
一年,3,7,激光雷达,0.492,7.913,通用词,False,False,中性,通用/时间,False,2.5822,9,0.1544
跨平台,3,9,苹果生态,0.6781,7.6757,技术术语,True,False,中性,软件/生态,True,5.505,13,0.2803
驱动,3,9,苹果生态,0.2532,7.6534,通用词,False,False,中性,通用,False,2.5781,14,0.1542
才能,3,7,激光雷达,0.2893,7.4064,通用词,False,False,中性,通用,False,3.3944,14,0.1893
